night,band,n,flux,err,snr
57226.5,o,8,-1.3063388495478878,7.513233987824872,-0.17387171112530211
57228.5,o,5,-10.971180491688312,9.514502622054062,-1.1531007901829524
57242.5,c,6,-0.20235949797030767,7.303067430843907,-0.02770883603178288
57243.5,c,5,-12.37388739619832,7.921409837718262,-1.5620814538946493
57244.5,c,5,8.521474349344127,8.729022692972721,0.9762231866122102
57287.5,o,4,-18.091308009612256,20.409145990731197,-0.886431407655588
57296.5,o,3,-18.063028463468267,16.8821769305848,-1.0699466388569925
57297.5,o,6,18.152408522253438,11.213767634050795,1.6187608941648963
57303.5,c,7,4.999683347112693,8.690174840965957,0.5753259788910016
57307.5,c,6,-3.9858864389059896,8.981087639050576,-0.44380887918017825
57310.5,c,6,-13.880324286104782,9.98856565359791,-1.389621369821507
57320.5,o,2,-9.461209964412815,37.456651101557014,-0.2525909200681191
57328.5,o,6,-10.313504858591056,17.186690306463195,-0.6000867342511302
57331.5,c,2,-12.514531754574811,15.092110443270093,-0.8292101890995185
57332.5,c,6,-7.593605717199393,8.126070360725722,-0.9344745221380565
57352.5,o,8,5.750220301103832,25.38010460498256,0.22656408988854063
57353.5,o,7,25.22386138570759,19.638128785723833,1.284433036412531
57355.5,o,8,16.781474301503508,10.80018966788043,1.5538129252869801
57356.5,o,7,-1.7982546394259125,11.253627648579863,-0.1597933302558523
57357.5,o,5,-14.033494209490934,13.472812825624931,-1.041615762879122
57358.5,o,2,-0.40177580466148904,21.177870992047968,-0.01897149174307233
57367.5,o,2,52.61764705882353,28.29726654851396,1.8594604170905957
57369.5,c,3,7.196431163415844,16.563663986126187,0.43447097027829185
57371.5,c,2,-15.405499477897669,25.671463080768785,-0.6001021223226799
57530.5,o,3,-29.537418133659088,37.00515584529077,-0.7981973716621431
57538.5,c,4,-17.328735253810578,19.701407626886986,-0.8795683832337764
57539.5,c,2,8.84009360374415,17.008784552403444,0.519736938080916
57540.5,c,4,17.231767694542526,13.06772743673274,1.318650681839665
57548.5,c,4,-8.05603999880956,10.801624829412853,-0.7458174234003149
57552.5,o,6,-3.857066695770466,10.875782134600293,-0.3546472932277271
57555.5,o,9,-17.840846477576758,11.045730094138998,-1.6151803751789422
57559.5,o,4,-40.18297092304561,35.405597975220026,-1.1349327005059824
57567.5,o,4,-11.886668029291219,26.79641246565214,-0.44359176977618353
57575.5,c,5,-4.921955247481984,7.380620642277639,-0.6668755225391292
57576.5,c,6,-0.3895009758483215,7.578189643053855,-0.051397628483121544
57577.5,c,5,1.9845893134882209,8.973782468553106,0.22115415884470482
57600.5,c,3,10.878186968838525,9.032519153939777,1.2043358871919703
57601.5,c,4,-11.907300574498962,8.47789983500272,-1.4045106460608638
57602.5,c,6,-12.4396088378504,6.991176045919337,-1.7793299376449325
57603.5,c,2,13.003891050583658,11.247567830476388,1.1561513783760733
57607.5,c,3,-8.778833107191314,8.840513624205087,-0.993022971329981
57611.5,o,10,2.30946663425855,8.246955802623573,0.280038682094531
57615.5,o,5,-30.697574320778454,25.22668324417504,-1.2168692183450898
57626.5,c,5,-12.703821700164836,7.972085022001583,-1.5935381603563528
57638.5,c,2,-22.0,11.313708498984761,-1.9445436482630056
57642.5,o,2,-48.10149318329366,26.92049898361734,-1.7867979792115358
57650.5,o,3,-82.71064202738536,51.20131762424936,-1.6154006550060525
57658.5,c,5,-2.3617001948414016,7.221137144997668,-0.32705377940058006
57666.5,c,5,7.7295701801819465,8.19516670134861,0.9431864490212207
57670.5,o,5,-12.839717792482919,18.563002933171415,-0.6916832281235493
57674.5,o,3,35.18430831609609,54.05210399791511,0.6509331869385365
57675.5,o,4,63.113544752059425,29.636516099651473,2.129587180215209
57678.5,o,5,-7.889714785062279,15.445811862589261,-0.5107996170904858
57686.5,c,5,14.512340146811116,7.1903815229006165,2.018299043046718
57690.5,c,5,9.752369420901006,9.046662051597435,1.0780074866595641
57694.5,c,5,-1.131221719457014,8.133640550041848,-0.13907938425570007
57702.5,o,9,-21.577028229861956,15.093706553780192,-1.429538076216145
57706.5,o,5,-11.581284709921837,22.57872449393882,-0.5129290945124376
57710.5,o,5,-19.377238340043345,11.026473927856669,-1.7573377007757458
57714.5,c,9,3.334011096196843,7.144556276393359,0.4666505472443257
57742.5,o,3,-23.17067628581328,23.40313873234877,-0.9900670397593221
57911.5,o,9,2.2370391752701426,7.913830576867189,0.2826746356952854
57922.5,o,4,-3.7169060401250547,9.515373431594986,-0.39062114239083723
57927.5,o,4,-7.272799611958078,7.6062931226593715,-0.9561555799489496
57930.5,o,4,-15.403416557161629,9.740388301169304,-1.5813965604751605
57940.5,o,4,-16.52146821627972,7.310320703460821,-2.260019619721772
57941.5,o,5,29.003335670507578,13.857336074934747,2.0929950398597192
57947.5,o,4,-8.834342894706337,16.99263603504659,-0.5198924331978794
57948.5,o,4,11.43892209724313,11.866587969535145,0.9639605020929393
57949.5,o,4,-12.015206007847194,8.193055565783972,-1.466510987430059
57950.5,o,4,-0.9606591611441859,6.703202985839948,-0.14331345226655257
57953.5,o,2,4.930599369085175,8.64950172704665,0.5700443244802629
57955.5,o,4,-10.33301793346079,9.856213231797923,-1.0483760538098554
57960.5,o,4,4.043338569184635,5.576823175682441,0.7250254207118281
57961.5,o,4,-5.035343702960361,5.125100319652558,-0.9824868566283436
57965.5,o,2,6.776470588235295,9.11107922838356,0.7437615696639641
57966.5,o,2,-5.205479452054795,9.526315391141889,-0.5464315675392342
57967.5,o,4,-0.31846982079818814,7.154192869750827,-0.044515129322936484
