mjd_mean,band,n,flux_uJy,err_uJy,snr,magAB
58268.44291670015,ZTF_r,1,1.5774618534703262,11.602956084265868,0.13595344514053928,23.40516845768618
58271.43862270005,ZTF_r,1,10.697945990413755,11.79179498135989,0.9072364306981882,21.326814619812218
58271.480798599776,ZTF_g,1,-19.39222427147713,12.732816765604012,-1.5230113358626671,
58276.47775459988,ZTF_r,1,2.3144723289748645,4.995420025383006,0.46331886352187385,22.988935640091512
58279.47218749998,ZTF_g,1,-0.38183394910787993,4.352460484005851,-0.08772829770908189,
58282.419351900004,ZTF_g,1,-0.516209360289023,3.3589274448098614,-0.15368279570511653,
58285.43925930001,ZTF_g,1,0.009065043601340536,2.6376497567670696,0.0034367882157528883,29.006640878981663
58288.41822919995,ZTF_g,1,-6.450743970696724,4.577348411299077,-1.4092752814649665,
58288.45975690009,ZTF_r,1,-1.1983025615423712,3.8107483513263976,-0.3144533438229478,
58291.43894679984,ZTF_g,1,-1.8487370380747248,2.3160230250147102,-0.7982377627972772,
58294.37706020009,ZTF_g,1,-3.113331024331805,8.334740743312624,-0.37353663661701597,
58297.4811689998,ZTF_g,1,-19.33506024227363,12.165329299260641,-1.5893577367814233,
58303.35567130009,ZTF_r,1,-1.4446823425027704,8.80590558009894,-0.16405835031523677,
58306.44013890019,ZTF_g,1,-0.29261107211952264,4.4394207844726585,-0.06591199310120831,
58320.37651620014,ZTF_r,1,4.62729856262362,3.1116035800232877,1.4871105665037796,22.236746817385548
58320.440752299975,ZTF_g,1,1.8657855674616424,3.6982004516327955,0.504511746148827,23.22291129896962
58321.36946759978,ZTF_i,1,11.998216006870917,6.924584132652709,1.7326984230422764,21.20227393132339
58323.41950230021,ZTF_g,1,-4.950882165691236,3.9474630112818248,-1.2541934279160174,
58326.399143499795,ZTF_r,1,-28.363672159012502,25.0063606716779,-1.1342583005745845,
58326.43915509991,ZTF_g,1,5.639535628695723,15.203784098468422,0.37092973645053473,22.021957260461242
58331.4417940001,ZTF_g,1,-3.8399648383194096,9.01539468218683,-0.4259341907577987,
58334.33326390013,ZTF_g,1,-3.403192670098213,4.443248623338279,-0.765924430206956,
