mjd,jd,survey,band,diff_flux_nJy,diff_flux_err_nJy,science_flux_nJy,science_flux_err_nJy,template_flux_nJy,diff_mag_AB,science_mag_AB,sep_from_mean_as,note
60181.335138900205,2460181.8351389,ZTF_ZFPS_nightly,ZTF_g,799.6,4094.2,,,,24.143,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.20
60181.414456000086,2460181.914456,ZTF_ZFPS_nightly,ZTF_r,7631.1,4064.4,,,,21.694,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=1.88
60183.15474863693,2460183.6547486368,ATLAS_FP_nightlystack,ATLAS_o,15085.0,9195.0,,,,20.954,,0.0,n=4 exposures; SNR=1.64
60184.21914184616,2460184.719141846,ATLAS_FP_nightlystack,ATLAS_o,22077.0,18305.0,,,,20.54,,0.0,n=2 exposures; SNR=1.21
60188.95926588055,2460189.4592658808,ATLAS_FP_nightlystack,ATLAS_o,-13588.0,66044.0,,,,,,0.0,n=2 exposures; SNR=-0.21
60191.0937968033,2460191.593796803,ATLAS_FP_nightlystack,ATLAS_o,8375.0,11394.0,,,,21.593,,0.0,n=4 exposures; SNR=0.74
60193.95644930619,2460194.456449306,ATLAS_FP_nightlystack,ATLAS_c,1319.0,4109.0,,,,23.599,,0.0,n=4 exposures; SNR=0.32
60194.29541670019,2460194.7954167,ZTF_ZFPS_nightly,ZTF_g,-261.8,4130.2,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.06
60194.42019628256,2460194.9201962827,ATLAS_FP_nightlystack,ATLAS_o,15236.0,11992.0,,,,20.943,,0.0,n=3 exposures; SNR=1.27
60199.90721500883,2460200.407215009,ATLAS_FP_nightlystack,ATLAS_c,-4264.0,3813.0,,,,,,0.0,n=4 exposures; SNR=-1.12
60200.20853010007,2460200.7085301,ZTF_ZFPS_nightly,ZTF_r,-1394.8,3664.9,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.38
60200.25354170008,2460200.7535417,ZTF_ZFPS_nightly,ZTF_g,-320.1,2964.1,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.11
60200.90775744419,2460201.4077574443,ATLAS_FP_nightlystack,ATLAS_c,-4601.0,4871.0,,,,,,0.0,n=4 exposures; SNR=-0.94
60202.20458329981,2460202.7045833,ZTF_ZFPS_nightly,ZTF_g,-1205.1,4030.5,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.30
60202.251354199834,2460202.7513542,ZTF_ZFPS_nightly,ZTF_r,751.3,3255.6,,,,24.211,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.23
60204.39615740022,2460204.8961574,ZTF_ZFPS_nightly,ZTF_r,-2180.1,4188.5,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-0.52
60205.892770426384,2460206.3927704263,ATLAS_FP_nightlystack,ATLAS_c,4688.0,3953.0,,,,22.223,,0.0,n=4 exposures; SNR=1.19
60206.20946760011,2460206.7094676,ZTF_ZFPS_nightly,ZTF_r,6356.7,3749.6,,,,21.892,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=1.70
60208.151415844266,2460208.6514158444,ATLAS_FP_nightlystack,ATLAS_o,-3762.0,5432.0,,,,,,0.0,n=4 exposures; SNR=-0.69
60209.272129599936,2460209.7721296,ZTF_ZFPS_nightly,ZTF_r,78.5,6542.9,,,,26.663,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.01
60209.36931709992,2460209.8693171,ZTF_ZFPS_nightly,ZTF_g,10511.6,9078.1,,,,21.346,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=1.16
60209.873512191625,2460210.3735121917,ATLAS_FP_nightlystack,ATLAS_o,-791.0,6947.0,,,,,,0.0,n=4 exposures; SNR=-0.11
60211.161489891194,2460211.6614898914,ATLAS_FP_nightlystack,ATLAS_o,-1649.0,8356.0,,,,,,0.0,n=4 exposures; SNR=-0.2
60212.22999999998,2460212.73,ZTF_ZFPS_nightly,ZTF_g,3447.3,6648.0,,,,22.556,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.52
60212.319560199976,2460212.8195602,ZTF_ZFPS_nightly,ZTF_r,3339.3,7760.1,,,,22.591,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.43
60216.16854170011,2460216.6685417,ZTF_ZFPS_nightly,ZTF_r,14740.6,8956.1,,,,20.979,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=1.65
60217.162727811585,2460217.6627278114,ATLAS_FP_nightlystack,ATLAS_o,2695.0,14045.0,,,,22.824,,0.0,n=4 exposures; SNR=0.19
60217.247743099935,2460217.7477431,ZTF_ZFPS_nightly,ZTF_r,-12919.2,7431.6,,,,,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=-1.74
60219.16572519126,2460219.665725191,ATLAS_FP_nightlystack,ATLAS_o,-2414.0,9460.0,,,,,,0.0,n=4 exposures; SNR=-0.26
60220.127393651455,2460220.6273936513,ATLAS_FP_nightlystack,ATLAS_o,22225.0,10461.0,,,,20.533,,0.0,n=4 exposures; SNR=2.12
60220.2834954001,2460220.7834954,ZTF_ZFPS_nightly,ZTF_i,2312.1,10291.3,,,,22.99,,0.0,ZFPS req479165 nightly IVW stack; n=1; SNR=0.22
