diaSourceId,midpointMjdTai,band,ra,psfFlux,psfFluxErr,scienceFlux,scienceFluxErr,templateFlux,templateFluxErr,snr,trailLength,trailAngle,reliability,extendedness
1.7063551942524963e+17,61228.387704906185,"""z""",332.3912694176833,4357.5615234375,374.2774353027344,6106.7314453125,344.9532470703125,841.4136962890625,223.13568115234375,11.31705379486084,0.887354850769043,-53.165103912353516,0.9959208965301514,0.5879334807395935
1.7063552774674848e+17,61228.418803947294,"""i""",332.39126205799744,10367.798828125,263.9353942871094,11127.634765625,254.1791229248047,141.70730590820312,110.92732238769531,38.66802215576172,0.5894479751586914,60.20207595825195,0.9999912977218628,0.027833573520183563
1.706530539364681e+17,61232.324759173716,"""r""",332.3912520618209,10709.46484375,237.6182861328125,11335.6865234375,225.51577758789062,441.17071533203125,19.51652717590332,44.57453536987305,0.20292928814888,-86.36371612548828,0.9996716976165771,0.06283263117074966
1.7065305444450307e+17,61232.3266784217,"""r""",332.3912512338411,10458.900390625,268.5499572753906,11227.689453125,256.3985290527344,468.8877868652344,15.731255531311035,38.70287322998047,0.9544693827629089,55.57981872558594,0.9997140765190125,0.041551586240530014
1.706530617210963e+17,61232.35409175322,"""i""",332.3912486391746,9958.3779296875,417.0993957519531,10707.01953125,405.4349060058594,551.9500732421875,21.393693923950195,23.62323570251465,1.3796916007995605,-31.881921768188477,0.9998007416725159,0.26514968276023865
1.7065306222913133e+17,61232.35603554142,"""i""",332.3912587399763,10174.203125,311.3582458496094,10839.8037109375,295.58245849609375,306.8961486816406,48.313594818115234,32.2564811706543,0.4562440514564514,-0.6347460150718689,0.9999858140945435,0.011299499310553074
1.7066628630393677e+17,61235.340581311444,"""i""",332.3912609326309,8806.8798828125,201.5050048828125,9937.5576171875,190.4015655517578,90.50888061523438,85.55024719238281,42.647186279296875,0.5063701272010803,-38.87405014038086,0.9999005794525146,0.07155641913414001
1.706662866153638e+17,61235.34150019105,"""i""",332.3912570917003,8343.1611328125,192.57994079589844,9849.1630859375,181.2832794189453,45.08737564086914,92.78580474853516,42.53080368041992,0.296390563249588,-13.282149314880371,0.9999334812164307,0.17307148873806
1.706662932832587e+17,61235.36771152026,"""z""",332.39125740870367,6341.34326171875,447.94842529296875,7699.08154296875,419.6578063964844,704.4044189453125,205.7703857421875,14.143067359924316,0.8540302515029907,-49.87984848022461,0.9999843835830688,0.21232199668884277
1.7066629359468576e+17,61235.36864810412,"""z""",332.3912738058183,4752.328125,718.9376220703125,5854.92529296875,716.6781616210938,791.698486328125,307.1942443847656,6.408722877502441,1.177364706993103,-51.584964752197266,0.9060803651809692,0.32862791419029236
