ls_id,ra,dec,type,flux_g,flux_r,flux_i,flux_z,sep_as,mag_g,mag_r,mag_i,mag_z
10995375883157975,332.3893120686737,-14.87191257556412,REX,0,0,1.2174755,0,9.921255677233974,,,22.286349423993517,
10995375883158025,332.3914294193225,-14.86695804505427,REX,0,0,2.521274,0,10.607430110050522,,,21.495949886778924,
10995375883157957,332.3882152182388,-14.86896272098589,PSF,0,0,0.33238238,0,11.118495518627848,,,23.695905016909915,
10995375883158132,332.3965086970743,-14.87143573456363,PSF,0,0,1.837491,0,19.081030595548853,,,21.839436948514056,
10995375883158137,332.3968571797199,-14.87054617714735,EXP,0,0,3.439415,0,19.613488452980032,,,21.158788547551584,
10995374421443768,332.3889369834261,-14.8752860038434,EXP,0,0,2.424304,0,21.006873102693426,,,21.53853230486549,
10995375883157909,332.3852526044435,-14.87089096439361,PSF,0,0,19.556486,0,21.204621024986547,,,19.271772946456743,
10995374421443851,332.3944561645199,-14.87517011204519,PSF,0,0,0.53512114,0,21.991490514932234,,,23.178869729628477,
10995375883158073,332.3941384927116,-14.864284482039,PSF,0,0,0.3806327,0,22.560856856690094,,,23.548734760961164,
10995375883158037,332.3921062692571,-14.86367490867171,PSF,0,0,4.1808977,0,22.602946018855263,,,20.946826147058573,
10995374421443769,332.3890087771444,-14.87614822905371,REX,0,0,2.1557791,0,23.818458079895187,,,21.66598935705055,
10995375883157904,332.3850347291267,-14.86681570400083,REX,0,0,1.4599807,0,24.340547322153547,,,22.089132213174015,
10995375883157888,332.3838714752972,-14.86862003675526,REX,0,0,1.3627652,0,26.11761694121429,,,22.163947413107003,
10995375883158165,332.398694067833,-14.86826996235515,PSF,0,0,0.36945602,0,26.523672198156802,,,23.581093131387476,
