sdss_id,gaia_dr3_source_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_dah,p_dahe,p_dbh,p_mwd,p_cv,teff,logg,snr,telescope,run2d,v_astra,release,filetype,source,spectrum_pk,min_mjd,max_mjd,n_visits
76327346,3306772527522597632,66.009,10.90501,17.48069,7.954553,0.1169465,DAH/DA,0.3342464,0.3706737,0,0,0.001998214,0.03325911,-9999,-9999,27.19748,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1214186,7674187,60647,60647,1
110269652,6430762242043644032,307.5677,-62.08552,18.77118,6.669566,0.1845617,DAH/DA,0.4275081,0.4948847,0,0,0.001998214,0.002,-9999,-9999,26.46506,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,1670287,8048797,60089,60094,3
79705406,3786801922478222208,169.5359,-4.51441,18.55592,5.061497,0.2085683,DAH,0.4290325,0.5287017,0,0,0.002,0.01225375,-9999,-9999,26.28497,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,2495662,11577066,60077,60080,3
86161874,4198738558061020928,286.4321,-11.73231,17.85788,9.589302,0.1265926,DA/DAH,0.3143823,0.2999807,0,0.001995063,0.001998214,0.01413002,-9999,-9999,24.41273,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,3125809,8905810,60086,60087,2
65378167,1980205739970324224,329.8219,51.049,17.05666,12.63676,0.05734415,DA,0.5026813,0.458728,0,0,0,0.002406997,26417.22,9.49,23.37617,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,174189,10859155,60625,60625,1
88908181,4418961661806565376,228.358,0.04016296,17.00708,8.461514,0.08357958,DA/DAH,0.483664,0.4269912,0,0.002,0,0.007846756,-9999,-9999,23.06563,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2196793,9039170,59977,59977,1
66973839,2069622487994113408,309.6323,43.30896,17.58028,5.950499,0.07610516,DAH/DA,0.3758614,0.4719288,0.001999175,0,0.003998214,0.008110472,-9999,-9999,22.75197,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1784422,12107017,60575,60577,2
54469146,428300220431345536,6.453506,59.38436,17.57157,11.55083,0.0787365,DA/DAH,0.4934682,0.393719,0,0,0,0.009977438,-9999,-9999,22.38112,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,988103,10263655,60256,60638,2
102093483,5807585134758743040,255.507,-70.75517,17.69276,8.123384,0.0907537,DA,0.5390117,0.3088385,0,0,0.003996429,0.01005842,87028.52,8.742889,22.21068,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,3134281,10761817,60091,60091,1
86602351,4236646794083461120,302.1297,0.4089836,18.06937,7.408273,0.1413336,DA/DAH,0.4757773,0.4024963,0,0,0.001998214,0.009075533,-9999,-9999,20.55763,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,1366845,7744891,59731,59734,2
114981621,50526755482496000,60.42998,19.58765,18.33319,8.626994,0.1946433,DAH,0.2432816,0.5321779,0,0,0.007994642,0.01903057,-9999,-9999,19.84916,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2922197,12228827,60581,60586,3
71868584,2833867392391927936,341.9298,20.43551,17.68832,6.728136,0.117506,DAH/DA,0.2975195,0.3838861,0,0,0,0.01346129,-9999,-9999,19.74716,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2637336,11894262,60582,60583,2
55938113,604881311110788864,134.2692,12.374,18.37471,3.670604,0.1490876,DA,0.5519686,0.2969366,0,0,0.003996429,0.007696143,22369.47,9.118402,19.55272,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,637078,12271923,60382,60399,2
57579775,879036662822100224,117.2211,30.4287,17.71678,5.202828,0.2106897,DA,0.5993162,0.3224046,0,0,0.001998214,0.009846756,30509.54,9.48986,19.10145,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,125526,10706175,60594,60594,1
